,cit_dis_sch,school,district,city,enroll_act,testtakers_act,reading_act,english_act,math_act,science_act,num_above21_act,pct_above21_act,enroll_sat,testtakers_sat,num_erw_benchmark_sat,pct_erw_benchmark_sat,num_math_benchmark_sat,pct_math_benchmark_sat,num_tot_benchmark_sat,pct_tot_benchmark_sat,act_participation,sat_participation
13,19651361996321.0,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29.0,29.0,25.0,25.0,34.0,0.9444,104.0,51.0,48.0,0.9412,43.0,0.8431,43.0,0.8431,0.34615384615384615,0.49038461538461536
14,12628100108688.0,Academy of the Redwoods,Fortuna Union High,Humboldt,47.0,6.0,22.08,21.2,21.42,21.36,3.3,0.55,47.0,22.0,17.0,0.7727,16.0,0.7273,15.0,0.6818,0.1276595744680851,0.46808510638297873
16,7616300730283.0,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,29.0,29.0,28.0,27.0,93.0,0.9394,353.0,122.0,119.0,0.9754,109.0,0.8934,109.0,0.8934,0.2804532577903683,0.34560906515580736
19,36679340125419.0,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,19.0,17.0,18.0,18.0,8.0,0.2857,430.0,102.0,55.0,0.5392,15.0,0.1471,14.0,0.1373,0.06511627906976744,0.2372093023255814
20,56725465631619.0,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,23.0,23.0,23.0,22.0,55.0,0.6044,507.0,352.0,242.0,0.6875,201.0,0.571,184.0,0.5227,0.1794871794871795,0.6942800788954635
21,43696744338802.0,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,25.0,24.0,24.0,24.0,93.0,0.6739,458.0,106.0,97.0,0.9151,84.0,0.7925,82.0,0.7736,0.30131004366812225,0.2314410480349345
22,19646831930080.0,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,27.0,26.0,25.0,24.0,114.0,0.8143,459.0,134.0,124.0,0.9254,111.0,0.8284,109.0,0.8134,0.30501089324618735,0.29193899782135074
23,19647330118588.0,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,14.0,14.0,16.0,15.0,7.0,0.0625,382.0,98.0,28.0,0.2857,10.0,0.102,9.0,0.0918,0.2931937172774869,0.25654450261780104
24,1611190130609.0,Alameda Community Learning Center,Alameda Unified,Alameda,31.0,5.0,22.08,21.2,21.42,21.36,2.75,0.55,31.0,21.0,20.0,0.9524,11.0,0.5238,10.0,0.4762,0.16129032258064516,0.6774193548387096
25,1611190130229.0,Alameda High,Alameda Unified,Alameda,463.0,93.0,28.0,27.0,27.0,26.0,85.0,0.914,463.0,190.0,160.0,0.8421,145.0,0.7632,132.0,0.6947,0.20086393088552915,0.4103671706263499
26,1611190106401.0,Alameda Science and Technology Institute,Alameda Unified,Alameda,43.0,12.0,22.08,21.2,21.42,21.36,6.6,0.55,43.0,32.0,30.0,0.9375,29.0,0.9063,28.0,0.875,0.27906976744186046,0.7441860465116279
27,1611270130450.0,Albany High,Albany City Unified,Alameda,296.0,58.0,28.0,27.0,27.0,26.0,51.0,0.8793,296.0,114.0,107.0,0.9386,97.0,0.8509,96.0,0.8421,0.19594594594594594,0.38513513513513514
29,19647331933852.0,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585.0,139.0,23.0,23.0,21.0,21.0,75.0,0.5396,585.0,323.0,217.0,0.6718,119.0,0.3684,116.0,0.3591,0.2376068376068376,0.5521367521367522
